Site.Transect,Luetkea pectinata,Vaccinium ovalifolium,Cassiope mertensiana,Phyllodoce empetriformis,Abies lasiocarpa,Pilosella tristis,Erigeron glacialis,Vahlodea atropurpurea,Poa alpina,Poa arctica,Agrostis alpina,Agrostis humilis,Kalmia microphylla,Carex spectabilis,Caltha leptosepala,Valeriana stichensis,Lupinus arcticus,Phyllodoce glanduliflora,Potentilla flabellifolia,Arnica latifolia,Diphasiastrum alpinum,Juncus drummondii,Luzula piperi,Tsuga mertensiana,Salix barclayi,Carex nigricans,Carex pyrenaica,Veronica wormskjoldii,Epilobium anagallidifolium,Castilleja parviflora,Pulsatilla occidentalis,Tonestus lyallii,Gaultheria humifusa,Leptarrhena pyrolifolia,Penstemon procerus,Erythronium grandiflorum,Salix commutata,Antennaria media,Festuca brachyphylla,Danthonia intermedia,Schoenoplectus acutus,Sorbus sitchensis,Vaccinium membranaceum,Antennaria umbrinella,Antennaria rosea,Ranunculus eschscholtzii,Diphasiastrum sitchense,Bryophyta - sp. 1,Bryophyta - sp. 2,Bryophyta - sp. 3,bare soil/rock,soil with litter cover,Agrostis spp.,bare soil,litter,rock,Racomitrium elongatum,Bucklandiella sudetica,Polytricum spp,cryptogamic crust,Lophozia ventricosa,Dicranum pallidisetum,Rhytidiopsis robusta,Niphotricum ericoides,Ptych (bryo species 5),Hypnum spp,Barbilophozia hatcheri,Brachythecium spp,Niphotricum elongatum,Aulacomnium palustre,Rhytidiadelphus squarrosus,Polytrichum piliferum,Racomitrium spp.,Streblotrichum convolutum,Ceratodon purpureus,Carex incurviformis,Philonotis Fontana,Ditrichum,Pohlia spp.,Bryo sp. 6,Polytrichum sp 1,Carex nardina,Phyllodoce x intermedia,Solidago multiradiata,Micranthes tolmiei
2.11,0.5,120,0,155,96,0,0.5,0,0,0,0,0,0,2,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,335,129.5,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
2.12,0,280,0,220,240,0,1,0,0,0.5,0,0,0,1,0,40,31,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
2.13,141,130,205.5,0,82,0,3.5,0,0,0.5,0,0,0,20,0,7,18.5,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,35,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0
2.14,11.5,84,291,165.5,41.5,2,0.5,0,0,1,0,0,0,2,0,23,15.5,0,0,5.5,0,0,1.5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,125,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,1,1,1,0,1,0,0,0,0,3,0,0,0,0
2.15,10.5,0,11,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,400,5,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2.16,7,0,55,0,136.5,0,0,0,0,0,0,0,0,0,0,0,0,110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,130,41,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
3.17,106,0,56,0,1,3.5,0,0,0,0,0,0,0,36.5,0,0,0,0,0,0,0,0.5,2,0,0,21.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,5,0,0,720,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
3.18,92.5,0,305,81,2.5,6.5,1.5,1,0,0,0,0,0,2.5,18.5,2.5,0,20,0,2,0,3,1,0,0,3,0,1,2.5,3,17.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,135.5,1,0,0,0,0,19.5,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.19,94.5,16,9,20.5,0,5.5,2,4.5,0,0,0,0,1.5,16,1.5,0,0,0,0,0,0,11.5,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,14.5,1,0,0,0,0,305,29.5,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.20.,190,255,255,70,1,4.5,4,5,0,0,0,0,51,7.5,0,0,0,0,0.5,0,0,0,2,0,0,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,135,0,0,0,15,0,30,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.21,58.5,122.5,22,45,5,0,0,0.5,0,0,0,0,0,21,0,0,0,0,0,0,0,0,12,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.22,295,96,380,36.5,0.5,6.5,2,2.5,0,0,0,0,0,2.5,0,0,0,0,1,0,0,0,0,0,0,91.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,15,0,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.23,45,0.5,12.5,0.5,1.5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,195,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.24,30,1,280,11,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,3,0,0,0,0,0,385,21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25,88,35,0,92,23,4.5,0,1.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,40,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,33.5,0.5,0,21,0,0,0,0,0,0,0,0,0,0
1.26,100,43.5,215,128,71.5,33.5,4,21.5,0,0,0,0,0,8.5,0,0,0,0,15.5,5,0,0,0,5,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,18.5,0,56,0,0,0,0,0,0,0,0,0,0,0,1,9.5,0,0,0,0,0,0,0,0,0,0
1.27,26,46.5,40,48,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1.28,11,71,235,215,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0.5,0,29,13.5,46.5,0,0,0,0,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
